ProductID,ProductName,ProductBrand,Gender,Price,NumImages,PrimaryColor,Description
127,Ruffled Chiffon Blouse,Mango,Women,2200,4,Lavender,"Delicate purple semi-sheer top with layered ruffles and a tie-up neck."
128,Cargo Combat Shorts,Superdry,Men,3800,5,Olive,"Military-style olive green shorts with reinforced stitching and six functional pockets."
129,Fleece Lined Tracksuit,HRX,Men,2999,4,Navy,"Warm athletic set including a zip-up hoodie and joggers for cold weather training."
130,Handwoven Jute Tote Bag,FabIndia,Women,899,3,Beige,"Eco-friendly large carry-all bag with leather handles and ethnic prints."
131,Pinstriped Waistcoat,Van Heusen,Men,2100,3,Grey,"Formal grey vest with a three-button closure and an adjustable back strap."
132,One-Piece Swimsuit,Speedo,Women,3200,4,Blue,"Chlorine-resistant competitive swimwear with a racerback design and aerodynamic fit."
133,Mandarin Collar Kurta,Manyavar,Men,2400,4,White,"Elegant white linen-cotton blend kurta with side slits and a wooden button placket."
134,Faux Fur Overcoat,Forever 21,Women,4500,5,Pink,"Glamorous dusty pink long coat with a soft faux fur collar and hidden snap buttons."
135,Metallic Dial Watch,Fossil,Men,9500,3,Silver,"Stainless steel analog watch with a blue sunray dial and water resistance."
136,High-Waist Mom Jeans,Levis,Women,3200,4,LightBlue,"Retro 90s style high-rise denim with a relaxed leg and five-pocket styling."
137,Suede Biker Jacket,ZARA,Men,7500,5,Tan,"Premium tan suede leather jacket with asymmetric zippers and notched lapels."
138,A-Line Midi Skirt,H&M,Women,1499,3,Black,"Simple black jersey skirt with a smooth drape and hidden side zipper."
139,Thermal Base Layer,Uniqlo,Unisex,1999,2,Grey,"Heat-retaining lightweight innerwear designed for extreme sub-zero temperatures."
140,Embroidered Pashmina Shawl,KashmirBox,Women,8500,4,Red,"Fine wool wrap with intricate hand-embroidered floral borders from the valley."
141,Graphic Skateboard Deck,Vans,Unisex,4500,3,Multi,"Seven-ply maple wood board with a distributed pop-art print on the underside."
142,Slim Fit Denim Shirt,Wrangler,Men,1800,4,Black,"Western-style black denim shirt with snap buttons and twin chest pockets."
143,Knitted Bodycon Dress,Only,Women,2400,3,Green,"Stretchy olive green ribbed dress that highlights the silhouette with a midi length."
144,Slip-Resistant Flip Flops,Crocs,Unisex,1500,2,Blue,"Comfortable foam sandals with a textured footbed and durable outsole."
145,Double Breasted Pea Coat,Burberry,Men,45000,6,Black,"Iconic heavy wool coat with large anchor buttons and wide lapels for luxury warmth."
146,Geometric Print Scarf,Accessorize,Women,999,3,Multi,"Lightweight silky scarf with a scattered abstract pattern in pastel shades."
147,Compression Workout Tights,Under Armour,Men,3500,4,Grey,"Ultra-tight second-skin fit leggings that support muscle recovery during exercise."
148,Chiffon Saree,Sabyasachi,Women,85000,5,Gold,"Exquisite designer saree with hand-painted motifs and a sequinned border."
149,Activewear Sports Bra,Puma,Women,1299,3,Black,"High-impact support bra with racerback straps and a mesh back for ventilation."
150,Distressed Leather Wallet,Wildhorn,Men,899,2,Brown,"Genuine leather bifold wallet with a vintage rugged look and RFID protection."
